Interactions	FigStatus	Notes	geneName	UniProt	Description	Pathway	Glycogene	Reactant	Product	Constraints	Compartment	Rules	Comments					Sequence
None			FKTN	O75072	Fukutin	O-Man,POMGNT2_Type	RibitolT	GalNAc(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]	Ribitol(P5-3)GalNAc(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]	None	Extracellular,Nucleus,Endoplasmic Reticulum,Golgi,cisGolgi network	{Ribitol(P5-3)}GalNAc(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]						147
None			FKRP	Q9H9S5	Fukutin-related protein	O-Man,POMGNT2_Type	RibitolT	Ribitol(P5-3)...Man6P(a1-?)Ser/Thr[Dystro]	Ribitol(P5-1)Ribitol(P5-3)...Man6P(a1-?)Ser/Thr[Dystro]	None	Golgi,Extracellular,Nucleus,Endoplasmic Reticulum,Cytosol	{Ribitol(P5-1)}Ribitol(P5-3)...Man6P(a1-?)Ser/Thr[Dystro]						148
None			MGAT5B	Q3V5L5	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B	O-Man,POMGNT1_Type|N-linked,Nlinked_Branching	GlcNAcT	GlcNAc(b1-2)Man(a1-?)Ser/Thr|GlcNAc(b1-2)Man(a1-6)  	GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-?)Ser/Thr|GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)	!GlcNAc(b1-4)[…]Man(b1-4)&!Gal(b1-?)	Golgi	GlcNAc(b1-2){[GlcNAc(b1-6)]}Man(a1-?)Ser/Thr|GlcNAc(b1-2){[GlcNAc(b1-6)]}Man(a1-6)	,more important for O-Man compared to N-glycan					149
None			B3GALNT2	Q8NCR0	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2	O-Man, POMGNT2 Type|Capping, LacDiNAc	GalNAcT, β3GalNAcT	GlcNAc(b1-2)Man(a1-6)|GlcNAc(b1-4)Man(a1-?)Ser/Thr[Dystro]	GlcNAc(b1-2)[GalNAc(b1-3)]Man(a1-6)|GalNAc(b1-3)GlcNAc(b1-4)Man(a1-?)Ser/Thr[Dystro]	!@GlcNAc(b1-4)...Man(b1-4)	Golgi,Endoplasmic Reticulum	{GalNAc(b1-3)}GlcNAc(b1-?)|{GalNAc(b1-3)}GlcNAc(b1-4)Man(a1-?)Ser/Thr[Dystro]						150
None			LARGE1	O95461	LARGE xylosyl- and glucuronyltransferase 1	O-Man,POMGNT2_Type	XylT,α3XylT,GlcAT,β3GlcAT	GlcA(b1-4)Xyl(b1-4)...Man6P(a1-?)Ser/Thr[Dystro]|Xyl(a1-3)...Man6P(a1-?)Ser/Thr[Dystro]|GlcA(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]	Xyl(a1-3)GlcA(b1-4)Xyl(b1-4)...Man6P(a1-?)Ser/Thr[Dystro]|GlcA(b1-3)Xyl(a1-3)...Man6P(a1-?)Ser/Thr[Dystro]|Xyl(a1-3)GlcA(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]	None	Golgi	{Xyl(a1-3)}GlcA(b1-4)Xyl(b1-4)...Man6P(a1-?)Ser/Thr[Dystro]|{GlcA(b1-3)}Xyl(a1-3)...Man6P(a1-?)Ser/Thr[Dystro]|{Xyl(a1-3)}GlcA(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]						151
None			LARGE2	Q8N3Y3	LARGE xylosyl- and glucuronyltransferase 2	O-Man,POMGNT2_Type	XylT,α3XylT,GlcAT,β3GlcAT	GlcA(b1-4)Xyl(b1-4)...Man6P(a1-?)Ser/Thr[Dystro]|Xyl(a1-3)...Man6P(a1-?)Ser/Thr[Dystro]|GlcA(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]	Xyl(a1-3)GlcA(b1-4)Xyl(b1-4)...Man6P(a1-?)Ser/Thr[Dystro]|GlcA(b1-3)Xyl(a1-3)...Man6P(a1-?)Ser/Thr[Dystro]|Xyl(a1-3)GlcA(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]	None	Golgi	{Xyl(a1-3)}GlcA(b1-4)Xyl(b1-4)...Man6P(a1-?)Ser/Thr[Dystro]|{GlcA(b1-3)}Xyl(a1-3)...Man6P(a1-?)Ser/Thr[Dystro]|{Xyl(a1-3)}GlcA(b1-3)...Man6P(a1-?)Ser/Thr[Dystro]						152
None			RXYLT1	Q9Y2B1	Ribitol-5-phosphate xylosyltransferase 1	O-Man,POMGNT2_Type	XylT,β4XylT	Ribitol(P5-1)...Man6P(a1-?)Ser/Thr[Dystro]	Xyl(b1-4)Ribitol(P5-1)...Man6P(a1-?)Ser/Thr[Dystro]	None	Golgi,Nucleus,Cell Membrane	{Xyl(b1-4)}Ribitol(P5-1)...Man6P(a1-?)Ser/Thr[Dystro]						153
None			B4GAT1	O43505	Beta-1,4-glucuronyltransferase 1	O-Man,POMGNT2_Type	GlcAT,β4GlcAT	Xyl(b1-4)Ribitol(P5-1)...Man6P(a1-?)Ser/Thr[Dystro]	GlcA(b1-4)Xyl(b1-4)Ribitol(P5-1)...Man6P(a1-?)Ser/Thr[Dystro]	None	Golgi,Exosome	{GlcA(b1-4)}Xyl(b1-4)Ribitol(P5-1)...Man6P(a1-?)Ser/Thr[Dystro]						154
None	add to DAG fig		CRPPA	A4D126	D-ribitol-5-phosphate cytidylyltransferase	Nucleotide_Sugar_Synthesis, O-Man	Cytidylyltransferase	Ribitol(5P)	CMP-Ribitol	None	Cytosol	{Ribitol5P->CMP-Ribitol}						155
PIGA, PIGC, PIGH, PIGP, PIGQ, PIGY, DPM2			PIGA	P37287	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A	GPI_Linked	GlcNAcT	PI	GlcNAc(a1-6)PI	None	Endoplasmic Reticulum	{GlcNAc(a1-6)}PI						156
PIGA, PIGC, PIGH, PIGP, PIGQ, PIGY, DPM2			PIGC	Q92535	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum	no reaction						157
PIGA, PIGC, PIGH, PIGP, PIGQ, PIGY, DPM2			PIGH	Q14442	Phosphatidylinositol N-acetylglucosaminyltransferase subunit H	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum	no reaction						158
PIGA, PIGC, PIGH, PIGP, PIGQ, PIGY, DPM2			PIGP	P57054	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum	no reaction						159
PIGA, PIGC, PIGH, PIGP, PIGQ, PIGY, DPM2			PIGQ	Q9BRB3	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum	no reaction						160
PIGA, PIGC, PIGH, PIGP, PIGQ, PIGY, DPM2			PIGY	Q3MUY2	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum,Cell Membrane	no reaction						161
None			PIGL	Q9Y2B2	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase	GPI_Linked	Modifying_Enzyme,Deacetylase	GlcNAc(a1-6)PI	GlcN(a1-6)PI	None	Endoplasmic Reticulum	GlcN{!Ac}(a1-6)PI						162
None			PIGW	Q7Z7B1	Phosphatidylinositol-glycan biosynthesis class W protein	GPI_Linked	Modifying_Enzyme,Acyltransferase	GlcN(a1-6)PI	GlcN[ancyl](a1-6)PI	None	Endoplasmic Reticulum	GlcN{[ancyl]}(a1-6)PI						163
PIGM, PIGX			PIGM	Q9H3S5	GPI mannosyltransferase 1	GPI_Linked	ManT,α4ManT	GlcN(a1-6)(ancyl)PI	Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Endoplasmic Reticulum	{Man(a1-4)}GlcN(a1-6)(ancyl)PI						164
PIGM, PIGX			PIGX	Q8TBF5	Phosphatidylinositol-glycan biosynthesis class X protein	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum	no reaction						165
None			PIGV	Q9NUD9	GPI mannosyltransferase 2	GPI_Linked	ManT,α6ManT	Man(a1-4)GlcN(a1-6)(ancyl)PI	Man(a1-6)Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Endoplasmic Reticulum	{Man(a1-6)}Man(a1-4)GlcN(a1-6)(ancyl)PI						166
None			PIGN	O95427	GPI ethanolamine phosphate transferase 1	GPI_Linked	Glycosylation_Regulation	Man(a1-6)Man(a1-4)GlcN(a1-6)(ancyl)PI	Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Endoplasmic Reticulum,Cytosol,Cell Membrane	Man(a1-6){[2EtNP]}Man(a1-4)GlcN(a1-6)(ancyl)PI						167
None			PIGB	Q92521	GPI mannosyltransferase 3	GPI_Linked	ManT,α6ManT	Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	{Man(a1-2)}Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Endoplasmic Reticulum	{Man(a1-2)}Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI						168
PIGO, PIGF			PIGO	Q8TEQ8	GPI ethanolamine phosphate transferase 3	GPI_Linked	ethanolamine phosphate transferase	Man(a1-2)Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	6EtNPMan(a1-2)Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Endoplasmic Reticulum	{6EtNP}Man(a1-2)Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI						169
None			PIGF	Q07326	Phosphatidylinositol-glycan biosynthesis class F protein	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum	no reaction						170
PIGG, PIGF			PIGG	PIGG	GPI ethanolamine phosphate transferase 2	GPI_Linked	ethanolamine phosphate transferase	6EtNPMan(a1-2)Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	6EtNPMan(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Endoplasmic Reticulum	6EtNPMan(a1-2){[6EtNP]}Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI						171
None			PIGZ	Q86VD9	GPI mannosyltransferase 4	GPI_Linked	ManT,α2ManT	6EtNPMan(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	6EtNP[Man(a1-2)]Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Endoplasmic Reticulum	6EtNP{[Man(a1-2)]}Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI						172
PIGK, GPAA1, PIGS, PIGT, PIGU			PIGK	Q92643	GPI-anchor transamidase	GPI_Linked	Transamidase	6EtNP<[Man(a1-2)]>Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	[anchored-protein]6EtNP<[Man(a1-2)]>Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Endoplasmic Reticulum	{[anchored-protein]}6EtNP<[Man(a1-2)]>Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI						173
PIGK, GPAA1, PIGS, PIGT, PIGU			GPAA1	O43292	Glycosylphosphatidylinositol anchor attachment 1 protein	GPI_Linked	Transamidase	6EtNP<[Man(a1-2)]>Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	[anchored-protein]6EtNP<[Man(a1-2)]>Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Mitochondria,Endoplasmic Reticulum,Cytosol	{[anchored-protein]}6EtNP<[Man(a1-2)]>Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI						174
PIGK, GPAA1, PIGS, PIGT, PIGU			PIGS	Q96S52	GPI transamidase component PIG-S	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum	no reaction						175
PIGK, GPAA1, PIGS, PIGT, PIGU			PIGT	Q969N2	GPI transamidase component PIG-T	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Vesicle,Endoplasmic Reticulum	no reaction						176
PIGK, GPAA1, PIGS, PIGT, PIGU			PIGU	Q9H490	Phosphatidylinositol glycan anchor biosynthesis class U protein	GPI_Linked	Glycosylation_Regulation	no reaction	no reaction	None	Endoplasmic Reticulum,Cell Membrane	no reaction						177
None			MPPE1	Q53F39	Metallophosphoesterase 1	GPI_Linked	Phosphoesterase	[anchored-protein]6EtNP<[Man(a1-2)]>Man(a1-2)[6EtNP]Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	[anchored-protein]6EtNP<[Man(a1-2)]>Man(a1-2)Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Nucleus,ERGIC,Golgi,cisGolgi	[anchored-protein]6EtNP<[Man(a1-2)]>Man(a1-2){![6EtNP]}Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI						178
None			PGAP4	Q9BRR3	Post-GPI attachment to proteins factor 4	GPI_Linked	GalNAcT	[anchored-protein]6EtNP<[Man(a1-2)]>Man(a1-2)Man(a1-6)[2EtNP]Man(a1-4)GlcN(a1-6)(ancyl)PI	[anchored-protein]6EtNP<[Man(a1-2)]>Man(a1-2)Man(a1-6)[2EtNP][GalNAc(b1-4)]Man(a1-4)GlcN(a1-6)(ancyl)PI	None	Golgi	[anchored-protein]6EtNP<[Man(a1-2)]>Man(a1-2)Man(a1-6)[2EtNP]{[GalNAc(b1-4)]}Man(a1-4)GlcN(a1-6)(ancyl)PI						179
None	correct SNFG figure		FUT1	P19526	Galactoside alpha-(1,2)-fucosyltransferase 1	Capping,ABO_BloodGroups,Fucosylation	FucosylT,α2FucosylT	Gal(b1-?)GalNAc(b1-?)|Gal(b1-?)GlcNAc(b1-?)	Fuc(a1-2)Gal(b1-?)GalNAc(b1-?)|Fuc(a1-2)Gal(b1-?)GlcNAc(b1-?)	None	Golgi,Cell Membrane	{Fuc(a1-2)}Gal(b1-?)GalNAc(b1-?)|{Fuc(a1-2)}Gal(b1-?)GlcNAc(b1-?)						180
None	correct SNFG figure		FUT2	Q10981	Galactoside alpha-(1,2)-fucosyltransferase 2	Capping,ABO_BloodGroups,Fucosylation	FucosylT,α2FucosylT	Gal(b1-?)GalNAc(b1-?)|Gal(b1-?)GlcNAc(b1-?)	Fuc(a1-2)Gal(b1-?)GalNAc(b1-?)|Fuc(a1-2)Gal(b1-?)GlcNAc(b1-?)	None	Golgi,Exosome	{Fuc(a1-2)}Gal(b1-?)GalNAc(b1-?)|{Fuc(a1-2)}Gal(b1-?)GlcNAc(b1-?)						181
None			FUT3	P21217	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3	Capping,Fucosylation	FucosylT,α3FucosylT,α4FucosylT	...Gal(b1-4)GlcNAc(b1-?)|...Gal(b1-3)GlcNAc(b1-?) |Gal(b1-4)GlcNAc(b1-?)|Gal(b1-3)GlcNAc(b1-?) 	...Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)|...Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-?)|Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)|Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-?)  	!GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)@GlcNAc(b1-?)	Golgi,Exosome	...Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)|...Gal(b1-3){[Fuc(a1-4)]}GlcNAc(b1-?)|Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)|Gal(b1-3){[Fuc(a1-4)]}GlcNAc(b1-?)						182
None			FUT4	P22083	Alpha-(1,3)-fucosyltransferase 4	Capping,Fucosylation	FucosylT,α3FucosylT	...Gal(b1-4)GlcNAc(b1-?)	...Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)	!GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)@GlcNAc(b1-?)	Golgi,transGolgi network,Cell Membrane	...Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)						183
None			FUT5	Q11128	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5	Capping,Fucosylation	FucosylT,α3FucosylT,α4FucosylT	...Gal(b1-4)GlcNAc(b1-?)|...Gal(b1-3)GlcNAc(b1-?) |Gal(b1-4)GlcNAc(b1-?)|Gal(b1-3)GlcNAc(b1-?) 	...Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)|...Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-?)|Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)|Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-?)  	!GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)@GlcNAc(b1-?)	Golgi	...Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)|...Gal(b1-3){[Fuc(a1-4)]}GlcNAc(b1-?)|Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)|Gal(b1-3){[Fuc(a1-4)]}GlcNAc(b1-?)						184
None			FUT6	P51993	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6	Capping,Fucosylation	FucosylT,α3FucosylT	Gal(b1-4)GlcNAc(b1-?)|Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-?)	Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)|Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)	!GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)@GlcNAc(b1-?)	Golgi,Extracellular,Exosome	Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)|Neu5Ac(a2-3)Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)						185
None			FUT7	Q11130	Alpha-(1,3)-fucosyltransferase 7	Capping,Fucosylation	FucosylT,α3FucosylT	Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-?)	Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)	None	Golgi,transGolgi network	Neu5Ac(a2-3)Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)						186
None			FUT9	Q9Y231	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9	Capping,Fucosylation	FucosylT,α3FucosylT	Gal(b1-4)GlcNAc(b1-?)|...GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-?)	Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)|...GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)	!GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)@GlcNAc(b1-?)	Golgi,transGolgi network	Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)|...GlcNAc(b1-3)Gal(b1-4){[Fuc(a1-3)]}GlcNAc(b1-?)						187
None			FUT10	Q6P4F1	Alpha-(1,3)-fucosyltransferase 10	Capping,Fucosylation	Putative or Inactive	no reaction	no reaction	None	Nucleus,Endoplasmic Reticulum,Golgi	no reaction						188
None			FUT11	Q495W5	Alpha-(1,3)-fucosyltransferase 11	Capping,Fucosylation	Putative or Inactive	no reaction	no reaction	None	Golgi	no reaction						189
None			UGCG	Q16739	Ceramide glucosyltransferase	GlcCer	GlcT	Cer	Glc(b1-?)Cer	None	Golgi	{Glc(b1-?)}Cer						190
None			ABO	P16442	Histo-blood group ABO system transferase	Capping	GalNAcT,α3GalNAcT,GalT,α3GalT	Fuc(a1-2)Gal(b1-?)	Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-?)|Fuc(a1-2)[Gal(a1-3)]Gal(b1-?)	None	Golgi,Extracellular,Vesicle	Fuc(a1-2){[GalNAc(a1-3)]}Gal(b1-?)|Fuc(a1-2){[Gal(a1-3)]}Gal(b1-?)						191
None			B3GALNT1	O75752	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1	Globo	GalNAcT, β2GalNAcT	Gal(a1-4)Gal(b1-4)Glc(b1-?)Cer	GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-?)Cer	None	Golgi,Extracellular	{GalNAc(b1-3)}Gal(a1-4)Gal(b1-4)Glc(b1-?)Cer						192
None			B4GALNT1	Q00973	Beta-1,4 N-acetylgalactosaminyltransferase 1	Ganglioside	GalNAcT,β4GalNAcT	Gal(b1-4)Glc(b1-?)Cer|Neu5Ac(a2-3)Gal(b1-4)Glc(b1-?)Cer|...Neu5Ac(a2-3)Gal(b1-4)Glc(b1-?)Cer	GalNAc(b1-4)Gal(b1-4)Glc(b1-?)Cer|Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-?)Cer|...Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-?)Cer	nNeuAc(a2-?)<=3	Golgi,Cell Membrane	{GalNAc(b1-4)}Gal(b1-4)Glc(b1-?)Cer|Neu5Ac(a2-3){[GalNAc(b1-4)]}Gal(b1-4)Glc(b1-?)Cer|...Neu5Ac(a2-3){[GalNAc(b1-4)]}Gal(b1-4)Glc(b1-?)Cer						193
None			B4GALNT2	Q8NHY0	Beta-1,4 N-acetylgalactosaminyltransferase 2	Capping,SdaAntigen	GalNAcT,β4GalNAcT	Neu5Ac(a2-3)Gal(b1-4)GlcNAc|Neu5Ac(a2-3)Gal(b1-3)GlcNAc 	Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc|Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3)GlcNAc 	None	Golgi	Neu5Ac(a2-3){[GalNAc(b1-4)]}Gal(b1-4)GlcNAc|Neu5Ac(a2-3){[GalNAc(b1-4)]}Gal(b1-3)GlcNAc						194
None			B4GALNT3	Q6L9W6	Beta-1,4-N-acetylgalactosaminyltransferase 3	Capping,LacDiNAc	GalNAcT, β4GalNAcT	GlcNAc(b1-?)	GalNAc(b1-4)GlcNAc(b1-?)	None	Golgi	{GalNAc(b1-4)}GlcNAc(b1-?)						195
None			B4GALNT4	Q76KP1	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1	Capping,LacDiNAc	GalNAcT, β4GalNAcT	GlcNAc(b1-?)	GalNAc(b1-4)GlcNAc(b1-?)	None	Golgi	{GalNAc(b1-4)}GlcNAc(b1-?)						196
None			CHSY3	Q70JA7	Chondroitin sulfate synthase 3	GAG_Polymerization,O-Xyl,CS&DS_Polymerization	GlcAT,β3GlcAT,GalNAcT,β4GalNAcT	GlcA(b1-3)GalNAc(b1-4)|GalNAc(b1-4)GlcA(b1-3)	GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)|GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)	Xyl&!IdoA(a1-3)	Golgi	{GalNAc(b1-4)}GlcA(b1-3)GalNAc(b1-4)|{GlcA(b1-3)}GalNAc(b1-4)GlcA(b1-3)						197
None			CHSY1	Q86X52	Chondroitin sulfate synthase 1	GAG_Polymerization,O-Xyl,CS&DS_Polymerization	GlcAT,β3GlcAT,GalNAcT,β4GalNAcT	GlcA(b1-3)GalNAc(b1-4)|GalNAc(b1-4)GlcA(b1-3)	GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)|GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)	Xyl&!IdoA(a1-3)	Golgi,Extracellular	{GalNAc(b1-4)}GlcA(b1-3)GalNAc(b1-4)|{GlcA(b1-3)}GalNAc(b1-4)GlcA(b1-3)						198
None			CHPF	Q8IZ52	Chondroitin sulfate synthase 2	GAG_Polymerization,O-Xyl,CS&DS_Polymerization	GlcAT,β3GlcAT,GalNAcT,β4GalNAcT	GlcA(b1-3)GalNAc(b1-4)|GalNAc(b1-4)GlcA(b1-3)	GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)|GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)	Xyl&!IdoA(a1-3)	Golgi,Mitochondria,Cytosol,Golgi	{GalNAc(b1-4)}GlcA(b1-3)GalNAc(b1-4)|{GlcA(b1-3)}GalNAc(b1-4)GlcA(b1-3)						199
None			CSGALNACT1	Q8TDX6	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	GAG_Polymerization,O-Xyl	GalNAcT,β4GalNAcT	GlcA(b1-3)Gal(b1-3)Gal(b1-4)	GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)	Xyl	Golgi	{GalNAc(b1-4)}GlcA(b1-3)Gal(b1-3)Gal(b1-4)						200
None			CSGALNACT2	Q8N6G5	Chondroitin sulfate N-acetylgalactosaminyltransferase 2	GAG_Polymerization,O-Xyl,CS&DS_Polymerization	GalNAcT,β4GalNAcT	GlcA(b1-3)Gal(b1-3)Gal(b1-4)|GlcA(b1-3)GalNAc(b1-4)	GalNAc(b1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)|GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)	Xyl	Golgi	{GalNAc(b1-4)}GlcA(b1-3)Gal(b1-3)Gal(b1-4)|GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)						201
None			CHPF2	Q9P2E5	Chondroitin sulfate glucuronyltransferase	GAG_Polymerization,O-Xyl,CS&DS_Polymerization	GlcAT,β3GlcAT	GalNAc(b1-4)GlcA(b1-3)	 GlcA(b1-3)GalNAc(b1-4)GlcA(b1-3)	Xyl&!IdoA(a1-3)	Golgi	{GlcA(b1-3)}GalNAc(b1-4)GlcA(b1-3)						202
None			CHST3	Q7LGC8	Carbohydrate sulfotransferase 3	CS&DS_Sulfation,KS_Sulfation,Type_II_LacNAc	Modifying_Enzyme,Sulfotransferase,GalNAc6ST	...GlcA(b1-3)GalNAc(b1-4)|NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-3)|...Gal(b1-4)GlcNAc(b1-3)	...GlcA(b1-3)GalNAc6S(b1-4)|NeuAc(a2-3)Gal6S(b1-4)GlcNAc(b1-3)|...Gal6S(b1-4)GlcNAc6S(b1-3)	None	Golgi,transGolgi network	...GlcA(b1-3)GalNAc{6S}(b1-4)GlcA|Neu5Ac(a2-3)Gal{6S}(b1-4)GlcNAc(b1-3)|...Gal{6S}(b1-4)GlcNAc6S(b1-3)						203
None			CHST7	Q9NS84	Carbohydrate sulfotransferase 7	CS&DS_Sulfation	Modifying_Enzyme,Sulfotransferase,GalNAc6ST	...GlcA(b1-3)GalNAc(b1-4)	...GlcA(b1-3)GalNAc6S(b1-4)	None	Golgi,transGolgi network	...GlcA(b1-3)GalNAc{6S}(b1-4)						204
